"ID","Taxon","Observer","Source","Date","County","Location Quality","Latitude","Longitude","Location Description","Accuracy: Square Meters","Plant","Phenology","Phenology Code"
"cns18621","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-04-22","San Benito","high","36.521383","-121.15161","McCabe Canyon","","Amsinckia menziesii var. intermedia","",""
"cns18622","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-04-22","San Benito","high","36.518885","-121.146264","Kingman","","Amsinckia menziesii var. intermedia","",""
"cns18815","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-04-26","San Benito","high","36.482705","-121.167966","Bear Gulch","","Amsinckia menziesii var. intermedia","",""
"cns18816","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-04-27","San Benito","high","36.501379","-121.123169","Kingman","","Amsinckia menziesii var. intermedia","",""
"cns18817","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-04-27","San Benito","high","36.501841","-121.1273","Kingman","","Amsinckia menziesii var. intermedia","",""
"cns18820","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-05-03","San Benito","high","36.525987","-121.186111","Marion Canyon","","Amsinckia menziesii var. intermedia","",""
"cns18827","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-05-12","San Benito","high","36.484964","-121.154284","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18430","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-05-27","San Benito","high","36.482695","-121.155632","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18833","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-06-02","San Benito","high","36.4874","-121.213623","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18881","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-05-19","San Benito","high","36.495384","-121.153099","McCabe Canyon","","Amsinckia menziesii var. intermedia","",""
"cns18831","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-05-25","San Benito","high","36.495994","-121.173414","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18428","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-05-26","San Benito","high","36.489277","-121.171529","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18834","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-06-02","San Benito","high","36.490305","-121.210174","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18463","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-06-09","San Benito","high","36.506069","-121.182121","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18084","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-06-09","San Benito","high","36.498234","-121.176677","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18631","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-06-28","San Benito","high","36.477454","-121.226051","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18841","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-06-29","San Benito","high","36.494795","-121.185801","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18883","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-06-29","San Benito","high","36.493738","-121.185624","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18884","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-06-29","San Benito","high","36.493844","-121.18436","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18530","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-06-30","San Benito","high","36.496367","-121.184268","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18664","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-06-30","San Benito","high","36.496455","-121.183551","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18667","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-07-01","San Benito","high","36.524345","-121.209859","Pinnacles","","Amsinckia menziesii var. intermedia","",""
"cns18669","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-06-06","San Benito","high","36.455884","-121.184766","Frog Canyon","","Amsinckia menziesii var. intermedia","",""
"cns18532","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2004-07-07","San Benito","high","36.471636","-121.174455","Frog Canyon","","Amsinckia menziesii var. intermedia","",""
"cns18456","Amsinckia menziesii var. intermedia","staff, NatureServe","DFW Vegetation Classification and Mapping Program","2003-04-09","San Benito","high","36.505017","-121.187594","Pinnacles","","Amsinckia menziesii var. intermedia","",""
