"ID","Taxon","Observer","Source","Date","County","Location Quality","Latitude","Longitude","Location Description","Accuracy: Square Meters","Plant","Phenology","Phenology Code"
"io82455","Phacelia ciliata","Ron Vanderhoff","","2023-02-19","Orange","high","33.690628","-117.644412","Dreaded Hill Trail, ca mid way from top and bottom, Whiting Ranch Park","50","Phacelia ciliata","Flowering","F"
"jgr10503","Phacelia ciliata","Jeff Greenhouse","","1995-02-26","Contra Costa","low","37.9728","-121.826","Contra Loma Regional Park","","Phacelia ciliata","",""
"jgr12017","Phacelia ciliata","Jeff Greenhouse","","1995-05-13","Alameda","low","37.495","-121.5242","Mt. Hamilton Range - Tarraville Creek","","Phacelia ciliata","",""
"jgr16977","Phacelia ciliata","Jeff Greenhouse","","1991-03-31","Alameda","low","37.71922","-121.73731","Livermore Valley - Springtown","","Phacelia ciliata","",""
"jgr16981","Phacelia ciliata","Jeff Greenhouse","","1991-03-31","Alameda","low","37.55758","-121.57956","Mt. Hamilton Range - Mines Rd.","","Phacelia ciliata","",""
"jgr26696","Phacelia ciliata","Jeff Greenhouse","","2008-04-05","San Luis Obispo","low","35.3972","-120.0655","Carrizo Plain - N end","","Phacelia ciliata","",""
"mg189586","Phacelia ciliata","Ryan O'Dell","","2023-02-10","Fresno","high","36.053777","-120.379819","","47","Phacelia ciliata","",""
"mg189587","Phacelia ciliata","Ryan O'Dell","","2023-02-10","Fresno","high","36.053653","-120.379423","","205","Phacelia ciliata","",""
"mg190543","Phacelia ciliata","Ryan O'Dell","","2023-02-16","Fresno","high","36.068934","-120.159518","","2270","Phacelia ciliata","",""
"mg190544","Phacelia ciliata","Ryan O'Dell","","2023-02-16","Fresno","high","36.068988","-120.159584","","47","Phacelia ciliata","",""
"mg190545","Phacelia ciliata","Ryan O'Dell","","2023-02-16","Fresno","high","36.069181","-120.159861","","101","Phacelia ciliata","",""
"mg190546","Phacelia ciliata","Ryan O'Dell","","2023-02-16","Fresno","high","36.069188","-120.159912","","59","Phacelia ciliata","",""
"mg190547","Phacelia ciliata","Ryan O'Dell","","2023-02-16","Fresno","high","36.069288","-120.159975","","336","Phacelia ciliata","",""
"mg190548","Phacelia ciliata","Ryan O'Dell","","2023-02-16","Fresno","high","36.069367","-120.160054","","54","Phacelia ciliata","",""
"mg190549","Phacelia ciliata","Ryan O'Dell","","2023-02-16","Fresno","high","36.068201","-120.1588","","47","Phacelia ciliata","",""
"mg190550","Phacelia ciliata","Ryan O'Dell","","2023-02-16","Fresno","high","36.068337","-120.158825","","96","Phacelia ciliata","",""
"mg190551","Phacelia ciliata","Ryan O'Dell","","2023-02-16","Fresno","high","36.068331","-120.158956","","731","Phacelia ciliata","",""
"mg190552","Phacelia ciliata","Ryan O'Dell","","2023-02-16","Fresno","high","36.068525","-120.15912","","1998","Phacelia ciliata","",""
"mg191042","Phacelia ciliata","Ryan O'Dell","","2023-02-17","Fresno","high","36.050956","-120.154109","","750","Phacelia ciliata","",""
"mg191324","Phacelia ciliata","Ryan O'Dell","","2023-02-19","Fresno","high","36.449628","-120.511596","","56","Phacelia ciliata","",""
"mg191325","Phacelia ciliata","Ryan O'Dell","","2023-02-19","Fresno","high","36.449706","-120.511223","","167","Phacelia ciliata","",""
"mg198897","Phacelia ciliata","R.A. Chasey","","2023-04-09","Contra Costa","high","37.956238","-121.874798","","55","Phacelia ciliata","",""
"mg200629","Phacelia ciliata","Ryan O'Dell","","2023-04-18","San Benito","high","36.302181","-120.703513","","103","Phacelia ciliata","",""
"mg200863","Phacelia ciliata","Ryan O'Dell","","2023-04-20","San Benito","high","36.477835","-120.758419","","47","Phacelia ciliata","",""
"mg204845","Phacelia ciliata","Ryan O'Dell","","2023-05-18","Fresno","high","36.297544","-120.678728","","48","Phacelia ciliata","",""
"mg233436","Phacelia ciliata","Ryan O'Dell","","2024-03-07","Fresno","high","36.209641","-120.286099","","156","Phacelia ciliata","",""
