"","id","taxon","observer","source","date","county","location_quality","latitude","longitude","location_description","accuracy_square_meters","plant","phenology","phenology_code"
"181","wb2187-517","Amsinckia intermedia","Kalee Koeslag","Irvine Ranch Conservancy",2019-05-13,"Orange","high",33.618433,-117.801019,"Open Space Preserve South-Bommer Canyon (COI)",314,"Amsinckia intermedia",NA,NA
"182","wb2187-536","Amsinckia intermedia","Kalee Koeslag","Irvine Ranch Conservancy",2019-05-28,"Orange","high",33.620326,-117.767446,"Laguna Coast Wilderness Park (OC)",314,"Amsinckia intermedia",NA,NA
"183","wb2187-538","Amsinckia intermedia","Kalee Koeslag","Irvine Ranch Conservancy",2019-06-03,"Orange","high",33.634851,-117.772408,"Open Space Preserve South-Shady Canyon (COI)",314,"Amsinckia intermedia",NA,NA
"184","wb2187-539","Amsinckia intermedia","Kalee Koeslag","Irvine Ranch Conservancy",2019-05-30,"Orange","high",33.768569,-117.707961,"East Orange Area II",314,"Amsinckia intermedia",NA,NA
"185","wb2187-544","Amsinckia intermedia","Kalee Koeslag","Irvine Ranch Conservancy",2019-05-30,"Orange","high",33.762981,-117.712667,"Limestone Canyon (OC)",314,"Amsinckia intermedia",NA,NA
"186","wb2187-550","Amsinckia intermedia","Kalee Koeslag","Irvine Ranch Conservancy",2019-06-03,"Orange","high",33.634648,-117.762972,"Open Space Preserve South-Shady Canyon (COI)",314,"Amsinckia intermedia",NA,NA
"187","gp15905","Amsinckia menziesii var. intermedia","Ron Vanderhoff",NA,2019-05-16,"Orange","high",33.58017,-117.76262,"Vic. Laguna Cyn. Rd. at El Toro Rd., Laguna Beach",100,"Amsinckia menziesii var. intermedia","Flowering","F"
"188","oe1151","Amsinckia menziesii var. intermedia","Mike Loomis",NA,2010-03-23,"Mariposa","high",37.650053,-119.884936,"Hite's Cove Trail",1000,"Amsinckia menziesii var. intermedia","Flowering","F"
"189","oe1308","Amsinckia menziesii var. intermedia","Mike Loomis",NA,2010-04-09,"Mariposa","high",37.601176,-119.998683,"Railroad Flat Road, 2.5 miles west of Briceburg",100,"Amsinckia menziesii var. intermedia","Flowering","F"
"190","oe1484","Amsinckia menziesii var. intermedia","Mike Loomis",NA,2010-03-28,"Stanislaus","high",37.659585,-120.484764,"Hwy. 132 .5 miles west of LaGrange",50,"Amsinckia menziesii var. intermedia","Flowering","F"
"191","oe1948","Amsinckia menziesii var. intermedia","Mike Loomis",NA,2010-04-23,"Butte","high",39.581737,-121.551833,"Table Mountain, Cherokee Rd., 1.5 miles north of Schimer Rd.",50,"Amsinckia menziesii var. intermedia","Flowering","F"
"192","oe5111","Amsinckia menziesii var. intermedia","Bob Granger","COM",2013-04-15,"Marin","high",37.975461,-122.584247,"in grasses next to fire road leading to top of Bald Hill at the junction of Deer Park trail N 37 58.540' W 122 35.074'",10,"Amsinckia menziesii var. intermedia","Flowering","F"
